URL,Reference Number,Issuing Organization,Solicitation Type,Solicitation Number,Title,Start Date,Questions are submitted online,Closing Date
https://www.merx.com/public/supplier/interception/view-notice/22769301004?origin=0,AB-2023-03741,Alberta Public Sector,RFP - Request for Proposal (Formal),LCSD2023-005,LCSD2023-005,2023/05/26 02:00:00 AM EDT,2023/06/09 12:00:00 PM EDT,
https://www.merx.com/public/supplier/interception/view-notice/22767839290?origin=0,3565695,Vancouver Police Department,RFP - Request for Proposal (Formal),169592,VPD20230215- Body Worn Cameras and In-Car Cameras Solution,2023/05/25 01:48:00 PM EDT,2023/06/19 05:00:00 PM EDT,
https://www.merx.com/public/supplier/interception/view-notice/22768972710?origin=0,3567506,WorkSafeBC,ITQ - Invitation to Quote (Informal),229-2023,BowTieXP Software Licensing and Annual Support and Maintenance,2023/05/26 02:35:00 PM EDT,2023/06/22 05:00:00 PM EDT,
https://www.merx.com/public/supplier/interception/view-notice/22767117841?origin=0,AB-2023-03737,Alberta Public Sector,OTHER - Other,23-24-1338,Academic Scheduling and Campus Management Applications,2023/05/26 02:00:00 AM EDT,2023/06/05 04:00:00 PM EDT,
https://www.merx.com/public/supplier/interception/view-notice/22768856067?origin=0,3567300,BC Assessment,ITQ - Invitation to Quote (Informal),ITQ # 230516,Supply and Delivery of Microsoft Enterprise Agreement Products,2023/05/26 12:54:00 PM EDT,2023/06/08 05:00:00 PM EDT,
https://www.merx.com/public/supplier/interception/view-notice/22767117844?origin=0,AB-2023-03742,Alberta Public Sector,RFP - Request for Proposal (Formal),ENMAX 23-3095,ENMAX 23-3095 RFP for Pre-Work Safety Application Platform,2023/05/26 02:00:00 AM EDT,2023/06/22 05:00:00 PM EDT,
https://www.merx.com/public/supplier/interception/view-notice/22767785063?origin=0,3565537,City of Castlegar,RFP - Request for Proposal (Formal),2023-12 Variable Messaging Boards RFP,2023-12 Variable Messaging Boards RFP,2023/05/25 12:57:00 PM EDT,2023/06/21 01:00:00 PM EDT,
https://www.merx.com/public/supplier/interception/view-notice/22767785057?origin=0,3565518,BC Assessment,ITQ - Invitation to Quote (Informal),ITQ # 230517,Supply and Delivery of Cisco Firewall,2023/05/25 12:54:00 PM EDT,2023/06/07 05:00:00 PM EDT,
https://www.merx.com/public/supplier/interception/view-notice/22767839269?origin=0,3565661,Liquor Distribution Branch,RFI - Request for Information (Informal),RFI2023-06-16,RFI2023-06-16 Cloud-Based Digital Asset Management,2023/05/25 01:37:00 PM EDT,2023/06/16 05:00:00 PM EDT,
https://www.merx.com/solicitations/open-bids/23-780-VMware-Subscriptions/0000247989?origin=0,247989,Export Development Canada - EDC,RFQ - Request for Quote (Formal),23-780,23-780 - VMware Subscriptions,2023/05/25 08:16:10 AM EDT,,2023/06/07 01:00:00 PM EDT
https://www.merx.com/public/supplier/interception/view-notice/22767785079?origin=0,3565572,City of West Kelowna,RFP - Request for Proposal (Formal),2023-05-P500,SUPPLY OF SCADA COMMUNICATIONS EQUIPMENT,2023/05/25 01:07:00 PM EDT,2023/06/23 05:00:00 PM EDT,
https://www.merx.com/public/supplier/interception/view-notice/22767117816?origin=0,AB-2023-03718,Alberta Public Sector,RFI - Request for Information (Informal),23-033,Request for Information (RFI) Record Management System,2023/05/25 02:00:00 AM EDT,2023/06/26 06:00:00 AM EDT,
https://www.merx.com/public/supplier/interception/view-notice/22767626659?origin=0,3565333,Chignecto-Central Regional Centre for Education,RFT - Request for Tender (Formal),RFC23-05OPP,Lockdown System Public Address System Hilden Elementary School,2023/05/25 10:47:00 AM EDT,2023/06/13 01:00:00 PM EDT,
https://www.merx.com/public/supplier/interception/view-notice/22766487221?origin=0,3563952,First Nations Health Authority,RFP - Request for Proposal (Formal),2024RFP-20,SharePoint Support Services,2023/05/24 01:42:00 PM EDT,2023/06/13 05:00:00 PM EDT,
